location,off_time,horse_name,jockey,trainer,trainer_win_pct,trainer_runs,age,distance_f,race_class,field_size,form_string,odds,status,going,distance,cd_winner,rp_or,rp_rpr,rp_ts
Clairefontaine,2:15,Kinesis,Pierre-Charles Boudot,A Fabre,24.0,34.0,3.0,12.0,,11,3-2,17.5,Active,Very Soft,1m3f204y,0,0.0,0.0,0.0
Clairefontaine,2:15,Micocoulier Street,Ronan Thomas,F Bresson,0.0,4.0,3.0,12.0,,11,74556,20.0,Active,Very Soft,1m3f204y,0,0.0,0.0,0.0
Clairefontaine,2:15,Smolar,Costantino Carboni,J Parize,0.0,8.0,3.0,12.0,,11,09-0,22.5,Active,Very Soft,1m3f204y,0,0.0,0.0,0.0
Clairefontaine,2:15,Citoyen,Maxime Guyon,A Fabre,24.0,34.0,3.0,12.0,,11,53,25.0,Active,Very Soft,1m3f204y,0,0.0,0.0,0.0
Clairefontaine,2:15,Chiron,Benjamin Marie,Alicja Karkosa,0.0,12.0,3.0,12.0,,11,07,27.5,Active,Very Soft,1m3f204y,0,0.0,0.0,0.0
Clairefontaine,2:15,Neptune Du Hutrel,Leo-Paul Brechet,Yannick Fouin,0.0,0.0,3.0,12.0,,11,,30.0,Active,Very Soft,1m3f204y,0,0.0,0.0,0.0
Clairefontaine,2:50,Idole Du Fraisse,Romain Dubord,J-C Rouget,0.0,12.0,3.0,8.0,Class 3,10,830181,5.0,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Run Victoria,Tony Piccone,G Pannier,0.0,8.0,3.0,8.0,Class 3,10,790910,7.5,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Enigmatic,Fabien Lefebvre,Adrien Fouassier,13.0,16.0,3.0,8.0,Class 3,10,1852,10.0,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Forgotten Son,Maxime Guyon,C Ferland,13.0,15.0,3.0,8.0,Class 3,10,78267,12.5,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Kingstride,Cristian Demuro,Gavin Hernon,0.0,13.0,3.0,8.0,Class 3,10,6434,15.0,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Golden Knight,Hugo Journiac,G Doleuze,0.0,2.0,3.0,8.0,Class 3,10,0-64,17.5,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Francqueville,Alexis Pouchin,Y Barberot,19.0,16.0,3.0,8.0,Class 3,10,7679,20.0,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Marasi Drive,Aurelien Lemaitre,F Chappet,0.0,6.0,3.0,8.0,Class 3,10,534576,22.5,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Blanquette,Mme Ambre Molins,P De Chevigny,17.0,6.0,3.0,8.0,Class 3,10,032536,25.0,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Morningside,Hugo Boutin,P Leblanc,0.0,2.0,3.0,8.0,Class 3,10,463,27.5,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,2:50,Radmilla,Leonard Plommee,F-H Graffard,25.0,36.0,3.0,8.0,Class 3,10,8772,30.0,Active,Very Soft,7f209y,0,0.0,0.0,0.0
Clairefontaine,3:25,Lilas Trezy,Brandon Flament,Leonardo D Racco,0.0,5.0,4.0,7.0,Class 3,12,030080,5.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,Rumpleteazer,Maxime Guyon,C Escuder,5.0,42.0,5.0,7.0,Class 3,12,034879,7.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,Gran Habano,Tony Piccone,D De Waele,0.0,3.0,5.0,7.0,Class 3,12,869654,10.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,Falbala,Aurelien Lemaitre,Miroslav Nieslanik,20.0,5.0,5.0,7.0,Class 3,12,-92554,12.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,Michelangelo,Theo Bachelot,D Artu,0.0,14.0,6.0,7.0,Class 3,12,009027,15.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,Khyrilovitch,Jente Marien,N Caullery,5.0,20.0,4.0,7.0,Class 3,12,00080-,17.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,3:25,Boavista,Ludovic Boisseau,D Artu,0.0,14.0,4.0,7.0,Class 3,12,367430,20.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
